priority,id,country,year,title_en,title_el,translation_status,source_status,direct_url_count,incident_path
high,greece_1893_bankruptcy_trikoupis_debt_crisis,Greece,1893,Greece bankruptcy and Trikoupis debt crisis,Greece bankruptcy and Trikoupis debt crisis,needs-review,generic-guidance,0,Greece/00-00-1893/Greece bankruptcy and Trikoupis debt crisis
high,greece_1898_international_financial_control_after_war,Greece,1898,International Financial Control after the 1897 war,International Financial Control after the 1897 war,needs-review,generic-guidance,0,Greece/00-00-1898/International Financial Control after the 1897 war
high,greece_1922_asia_minor_catastrophe_trial_six,Greece,1922,Asia Minor catastrophe and trial of the six,Asia Minor catastrophe and trial of the six,needs-review,generic-guidance,0,Greece/00-00-1922/Asia Minor catastrophe and trial of the six
high,greece_1936_metaxas_dictatorship_censorship_machine,Greece,1936,Metaxas dictatorship and censorship machine,Metaxas dictatorship and censorship machine,needs-review,generic-guidance,0,Greece/00-00-1936/Metaxas dictatorship and censorship machine
high,greece_1941_greek_occupation_famine_collaboration_networks,Greece,1941,Greek occupation famine and collaboration networks,Greek occupation famine and collaboration networks,needs-review,generic-guidance,0,Greece/00-00-1941/Greek occupation famine and collaboration networks
high,greece_1946_white_terror_after_liberation_civil_war_escalation,Greece,1946,White Terror after liberation and civil-war escalation,White Terror after liberation and civil-war escalation,needs-review,generic-guidance,0,Greece/00-00-1946/White Terror after liberation and civil-war escalation
high,greece_1949_makronisos_exile_camp_anti_communist_re_education,Greece,1949,Makronisos exile camp and anti-communist re-education,Makronisos exile camp and anti-communist re-education,needs-review,generic-guidance,0,Greece/00-00-1949/Makronisos exile camp and anti-communist re-education
high,greece_1955_istanbul_pogrom_greek_minority_trauma,Greece,1955,Istanbul Pogrom and Greek minority trauma,Istanbul Pogrom and Greek minority trauma,needs-review,generic-guidance,0,Greece/00-00-1955/Istanbul Pogrom and Greek minority trauma
high,greece_1967_junta_coup_nato_era_anti_communist_state,Greece,1967,Junta coup and NATO era anti-communist state,Junta coup and NATO era anti-communist state,needs-review,generic-guidance,0,Greece/00-00-1967/Junta coup and NATO era anti-communist state
high,greece_1968_junta_torture_files_international_condemnation,Greece,1968,Junta torture files and international condemnation,Junta torture files and international condemnation,needs-review,generic-guidance,0,Greece/00-00-1968/Junta torture files and international condemnation
high,greece_1974_cyprus_coup_invasion_greek_junta_collapse,Greece,1974,"Cyprus coup, invasion, and Greek junta collapse","Cyprus coup, invasion, and Greek junta collapse",needs-review,generic-guidance,0,"Greece/00-00-1974/Cyprus coup, invasion, and Greek junta collapse"
high,greece_1976_torture_trials_limits_metapolitefsi_justice,Greece,1976,Torture trials and limits of Metapolitefsi justice,Torture trials and limits of Metapolitefsi justice,needs-review,generic-guidance,0,Greece/00-00-1976/Torture trials and limits of Metapolitefsi justice
high,greece_1985_kaltezas_killing_exarchia_police_distrust,Greece,1985,Kaltezas killing and Exarchia police distrust,Kaltezas killing and Exarchia police distrust,needs-review,generic-guidance,0,Greece/00-00-1985/Kaltezas killing and Exarchia police distrust
high,greece_1988_koskotas_scandal_media_bank_politics,Greece,1988,"Koskotas scandal: media, banking, and politics","Koskotas scandal: media, banking, and politics",needs-review,generic-guidance,0,"Greece/00-00-1988/Koskotas scandal media, banking, and politics"
high,greece_1989_koskotas_scandal_media_banking_party_finance,Greece,1989,Koskotas scandal media banking and party finance,Koskotas scandal media banking and party finance,needs-review,generic-guidance,0,Greece/00-00-1989/Koskotas scandal media banking and party finance
high,greece_1991_temponeras_murder_education_protest_violence,Greece,1991,Temponeras murder and education protest violence,Temponeras murder and education protest violence,needs-review,generic-guidance,0,Greece/00-00-1991/Temponeras murder and education protest violence
high,greece_1999_athens_stock_exchange_bubble_small_investor_ruin,Greece,1999,Athens stock exchange bubble and small investor ruin,Athens stock exchange bubble and small investor ruin,needs-review,generic-guidance,0,Greece/00-00-1999/Athens stock exchange bubble and small investor ruin
high,greece_1999_athens_stock_market_bubble_loss,Greece,1999,Athens stock market bubble and public loss,Athens stock market bubble and public loss,needs-review,generic-guidance,0,Greece/00-00-1999/Athens stock market bubble and public loss
high,greece_2002_17_november_trial_security_state_transition,Greece,2002,17 November trial and security-state transition,17 November trial and security-state transition,needs-review,generic-guidance,0,Greece/00-00-2002/17 November trial and security-state transition
high,greece_2004_c4i_olympic_security_system_scandal,Greece,2004,C4I Olympic security system scandal,C4I Olympic security system scandal,needs-review,generic-guidance,0,Greece/00-00-2004/C4I Olympic security system scandal
high,greece_2004_vodafone_wiretapping_scandal_athens_olympics_context,Greece,2004,Vodafone wiretapping scandal and Athens Olympics context,Vodafone wiretapping scandal and Athens Olympics context,needs-review,generic-guidance,0,Greece/00-00-2004/Vodafone wiretapping scandal and Athens Olympics context
high,greece_2005_vodafone_greece_wiretapping_scandal,Greece,2005,Vodafone Greece wiretapping scandal,Vodafone Greece wiretapping scandal,needs-review,generic-guidance,0,Greece/00-00-2005/Vodafone Greece wiretapping scandal
high,greece_2007_bond_scandal_pension_funds_structured_products,Greece,2007,Bond scandal pension funds and structured products,Bond scandal pension funds and structured products,needs-review,generic-guidance,0,Greece/00-00-2007/Bond scandal pension funds and structured products
high,greece_2008_grigoropoulos_killing_december_revolt,Greece,2008,Grigoropoulos killing and December revolt,Grigoropoulos killing and December revolt,needs-review,generic-guidance,0,Greece/00-00-2008/Grigoropoulos killing and December revolt
high,greece_2010_marfin_bank_fire_protest_tragedy,Greece,2010,Marfin bank fire and protest tragedy,Marfin bank fire and protest tragedy,needs-review,generic-guidance,0,Greece/00-00-2010/Marfin bank fire and protest tragedy
high,greece_2011_lagarde_list_tax_evasion_credibility_crisis,Greece,2011,Lagarde list and tax-evasion credibility crisis,Lagarde list and tax-evasion credibility crisis,needs-review,generic-guidance,0,Greece/00-00-2011/Lagarde list and tax-evasion credibility crisis
high,greece_2011_syntagma_square_policing_austerity_rage,Greece,2011,Syntagma square policing and austerity rage,Syntagma square policing and austerity rage,needs-review,generic-guidance,0,Greece/00-00-2011/Syntagma square policing and austerity rage
high,greece_2012_shaming_hiv_positive_women,Greece,2012,Public shaming of HIV-positive women,Public shaming of HIV-positive women,needs-review,generic-guidance,0,Greece/00-00-2012/Public shaming of HIV-positive women
high,greece_2014_baltakos_video_golden_dawn_contacts,Greece,2014,Baltakos video and Golden Dawn contacts,Baltakos video and Golden Dawn contacts,needs-review,generic-guidance,0,Greece/00-00-2014/Baltakos video and Golden Dawn contacts
high,greece_2016_tv_licenses_media_power_conflict,Greece,2016,TV licenses and media-power conflict,TV licenses and media-power conflict,needs-review,generic-guidance,0,Greece/00-00-2016/TV licenses and media-power conflict
high,greece_2017_noor_one_heroin_allegations_impunity,Greece,2017,Noor One heroin case and allegations of impunity,Noor One heroin case and allegations of impunity,needs-review,generic-guidance,0,Greece/00-00-2017/Noor One heroin case and allegations of impunity
high,greece_2018_mati_wildfire_command_failures_anger,Greece,2018,Mati wildfire command failures and public anger,Mati wildfire command failures and public anger,needs-review,generic-guidance,0,Greece/00-00-2018/Mati wildfire command failures and public anger
high,greece_2018_zak_kostopoulos_killing_bystander_violence,Greece,2018,Zak Kostopoulos killing and bystander violence,Zak Kostopoulos killing and bystander violence,needs-review,generic-guidance,0,Greece/00-00-2018/Zak Kostopoulos killing and bystander violence
high,greece_2019_greek_mafia_killings_state_crime_fear,Greece,2019,Greek Mafia killings and state-crime fear,Greek Mafia killings and state-crime fear,needs-review,generic-guidance,0,Greece/00-00-2019/Greek Mafia killings and state-crime fear
high,greece_2019_novartis_greece_political_scandal_protected_witnesses,Greece,2019,Novartis Greece political scandal and protected witnesses,Πολιτικό σκάνδαλο Novartis στην Ελλάδα και προστατευόμενοι μάρτυρες,needs-review,generic-guidance,0,Greece/00-00-2019/Novartis Greece political scandal and protected witnesses
high,greece_2020_petsas_list_media_funding_message_control,Greece,2020,"GREECE: Petsas List, Media Funding, and Message Control (2020-2026)",Petsas list media funding and message control,needs-review,generic-guidance,0,"Greece/00-00-2020/GREECE Petsas List, Media Funding, and Message Control (2020-2026)"
high,greece_2020_pandemic_sms_permits_policing_normalization,Greece,2020,"Greek pandemic SMS permits, policing, and normalization","Greek pandemic SMS permits, policing, and normalization",needs-review,generic-guidance,0,"Greece/00-00-2020/Greek pandemic SMS permits, policing, and normalization"
